,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
11831,24.0,0.62163883,0.15209284,-0.51609355,-0.5820211,-0.07919391,0.76080287,0.010353244,-1.0723414,0.74998295,-0.120208755,0.7444786,-0.030969214,-0.15742633,0.10456289,-0.32450813,1.3164823,-0.3095836,0.29956314,0.56339926,11831,5.881160004993019
11832,101.0,0.053162307,-0.18001944,-0.7761977,-0.7843769,-0.30562195,0.251078,-0.113992095,-1.3369188,0.745302,-0.18365964,0.7571518,-0.19945511,-0.7480415,-0.29885775,-0.17865963,0.76943326,0.47408864,0.30340114,0.6814151,11832,1.6296115800465047
11835,8.0,-1.2505232,-0.1681532,-0.67556995,-0.6538569,-0.8079312,-0.4602576,-0.16797212,-0.45511454,-1.4870342,-0.5278388,-0.8489042,0.079418786,-0.5991422,-0.59119505,-1.3160672,1.807512,-0.30408335,-0.22909288,-1.2478956,11835,-2.0076576936881563
11838,173.0,0.35210502,-0.076238394,0.71501565,0.7619659,0.29537374,1.3048522,-0.14226192,-0.86579615,0.8412016,0.23102358,0.93603563,1.1591872,0.5014823,0.019754307,-0.360848,0.2100378,0.63159037,0.6995306,0.25070038,11838,4.542904110892466
11839,173.0,0.6704824,-0.055804744,-0.44517985,-0.35626692,0.29372862,0.99596345,-0.27548075,-0.81049895,0.94670314,0.11523864,0.8351389,0.58078563,0.41304708,0.020207886,-0.33087733,0.6661123,0.53495044,0.6678469,0.44892502,11839,6.374320228759803
11842,101.0,0.05341818,-0.33310896,-0.844646,-0.8250667,-0.32675833,0.16880685,-0.04899211,-1.2522669,0.7478225,-0.12191972,0.8175922,-0.2250778,-0.9348994,-0.35214686,0.011951238,0.6549653,0.7554976,0.3714297,0.9806449,11842,0.5906160664243165
11844,9.0,-0.8487792,0.101117,-0.0045954576,-0.0039170953,-1.1313972,0.19843394,-0.5484102,-1.9312823,-0.38076803,-0.5973419,0.17955655,-0.47029066,-1.2136673,-1.3199956,-1.2677729,0.5565106,-0.31517816,0.004433781,-0.7524864,11844,1.721916204482836
11854,106.0,1.201367,-0.1214253,-0.7948207,-0.69088554,0.3855482,0.9378369,-0.3323521,-0.31078565,0.85404426,0.25424668,0.8702336,-0.14916468,0.028665682,0.20844749,0.47944617,1.019587,0.028400233,0.55721086,0.92162824,11854,3.514968505246607
11857,101.0,-0.60916495,-1.4000192,-0.13330515,-0.14574987,-0.9805232,0.17000805,-0.60303783,-2.0909257,-0.46574542,-0.4041499,0.7941957,0.5268688,-1.7046608,-1.8396953,-0.6014298,-0.111091554,0.27040622,0.3769532,-0.117451936,11857,-5.365299330374012
11858,8.0,-0.86463434,0.071661055,-0.73282975,-0.71664476,-1.3706777,-0.3377554,-0.4464506,-2.31832,-0.18512805,-0.6174927,0.3677013,-1.2634746,-1.1395504,-1.4613386,-1.0805225,0.64015543,0.18544698,0.24050629,-0.7798802,11858,-0.9438581775361677
