roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
62.0,31.562243,22.381516,20.360252,0.7964929,0.55841434,3.1908886,10.830464,1.3683789,15.193001,0.9046284,28.208586,36.43958,498.14688,3.7149081,17.549665,6.881238,7.0751863,10.919639,2.520524
63.0,28.899504,23.410257,30.857788,1.2324282,0.4952154,2.1723533,10.742676,1.3030858,13.5325,0.7711333,25.51603,35.669495,516.41876,3.6825442,16.018166,5.5683017,7.197484,10.836587,2.3476655
64.0,29.856258,19.737158,29.577814,1.1431153,0.5229686,4.5125284,10.466456,1.3859618,18.434,0.87944573,30.01886,40.913246,698.7439,3.4538963,14.265017,6.1604524,6.4780893,10.788959,2.5013492
65.0,39.62829,21.129858,0.0,0.0,0.5406238,4.277176,10.340962,1.4437962,21.0905,0.89727914,28.101917,40.564163,0.0,4.2481446,16.493011,6.6038704,7.0312834,10.951183,2.589651
66.0,25.598925,19.91612,0.0,0.0,0.46275643,2.069155,10.2602625,1.3305542,17.518002,0.846122,27.126686,30.084154,0.0,3.670888,13.261802,5.807391,7.1400876,11.038784,2.4330468
67.0,16.675314,10.678056,9.384284,0.34452754,0.42352098,0.6113667,11.25431,1.3696122,-0.003,0.631603,21.82691,19.986185,579.1374,3.8465402,11.398697,4.292617,4.307001,8.787974,2.2149873
68.0,26.34663,20.423512,0.0,0.0,0.41630626,0.7698294,10.583402,1.2515247,13.2300005,0.61993635,27.21659,34.62374,217.22879,3.1261039,14.594585,6.292082,7.005186,10.601704,2.3103142
69.0,33.429974,22.537626,24.679277,0.9584679,0.52026117,2.992435,10.416252,1.3978019,13.862,0.8317474,23.570137,31.648289,603.3483,3.9629397,15.505828,5.0121517,6.736098,10.339247,2.418536
70.0,22.554705,21.1419,4.3822174,0.16659506,0.37966645,0.6716448,10.5914,1.3152711,-0.003,0.6465782,19.46045,20.958527,584.83606,3.625031,13.111128,4.5878496,5.4173565,8.849804,2.166915
71.0,32.578506,23.121027,0.07842903,0.0031269104,0.4855826,1.5550721,10.859028,1.4111185,10.3855,0.78706396,22.466908,25.988033,500.4333,3.9105468,15.719507,6.512637,6.488833,10.397686,2.3665466
72.0,30.692465,18.931324,20.599758,0.8058612,0.15538266,3.0304418,9.664746,1.3517681,3.3240001,0.538495,20.617014,18.065474,324.79837,3.6811976,7.8652177,1.3104916,3.2855332,7.8144536,2.0965102
73.0,28.923918,24.709099,17.99644,0.6884227,0.49450317,1.9411345,11.229527,1.2824076,11.295,0.6697643,26.485168,31.299206,623.31647,3.6165292,14.04923,5.758895,6.813798,11.285374,2.4015236
74.0,30.204168,22.368635,13.854085,0.51791936,0.53434753,2.1060908,11.536937,1.4391676,8.854,0.7977187,24.801369,26.006014,125.24947,4.3354864,13.916182,4.8598523,6.228066,11.524821,2.479254
75.0,25.420391,15.703237,0.0,0.0,0.5106635,1.3489181,11.133768,1.4262366,10.015,0.81162447,25.71717,28.13947,0.0,4.083122,11.717548,0.96552926,6.1203413,10.773983,2.3774562
76.0,25.331888,13.48727,0.0,0.0,0.49766454,1.1354146,10.66633,1.3845478,13.900001,0.86035943,26.76707,29.26463,0.0,3.811065,13.092497,0.5898924,7.0551233,10.573568,2.4125025
77.0,15.088351,0.639972,0.0,0.0,0.2641804,0.0,10.738333,1.431221,8.977501,0.75835985,21.83453,20.717314,0.0,3.851202,9.927967,0.013304859,4.410187,9.882145,2.268651
78.0,34.403515,29.203825,29.201664,1.2303916,0.5432766,3.4505847,10.99701,1.3709595,13.291,0.82775193,26.98345,29.562775,597.86975,4.0692863,16.193352,6.055472,6.8352804,12.31417,2.5713716
79.0,30.259102,24.848463,21.891758,0.82189685,0.3337262,3.849257,10.39374,1.117532,15.269001,0.47997823,30.786854,33.85666,759.8038,2.5094745,13.208038,4.972883,7.6330123,13.4605,2.3404806
80.0,21.913815,23.456875,18.49136,0.7489742,0.2784363,1.8384352,10.141297,1.0837507,11.998501,0.41663486,30.666473,34.279152,611.66003,1.7663307,12.583487,3.193171,7.6458273,12.852296,2.2641163
