,ext_pet_vox_pls_0,domain
2235,-8.640753772635453,motor
2236,-0.5163749371306617,motor
2237,-0.33058562575125133,motor
2238,-0.05710004827667265,motor
2239,-1.6947903538942328,motor
2240,-0.189822926792035,motor
2241,-0.3513724431741714,motor
2242,-0.22445983181752685,motor
2243,-0.504155336198276,motor
2244,-4.556256112864846,motor
2245,0.6770857136221915,motor
2246,-5.557185557844204,motor
2247,0.1617708464260568,motor
2248,-2.952605899542236,motor
2249,-7.4888752678360815,motor
2250,-3.9760299567505273,motor
2251,-1.059450265493819,motor
2252,0.7774938759667536,motor
2253,1.1859330365279193,motor
2254,2.2359610580840337,motor
2255,-1.2912901906720284,motor
2256,-5.6479102383290005,motor
2257,-3.8825604324846297,motor
2258,0.6806054999877247,motor
2259,-0.72503015540299,motor
2260,0.7278764640601814,motor
2261,-1.6186672325049383,motor
2262,-2.4387058839392073,motor
2263,2.410743295845304,motor
2264,0.7483350722226024,motor
2265,2.783499375777972,motor
2266,3.1833910302440303,motor
2267,2.7322207966584706,motor
2268,-3.8268277035567597,motor
2269,-6.131085998294432,motor
2270,3.2438680271820637,motor
2271,3.222175050083853,motor
2272,1.155149357367,motor
2273,1.3854775110878594,motor
2274,-3.8707356231095176,motor
2275,-4.401219574486603,motor
2276,-5.6201281228105815,motor
2277,-11.578048417777952,motor
2278,1.7762102930396544,motor
2279,0.7252727521479241,motor
2280,1.499307078223808,motor
2281,-0.16075214779179964,motor
2282,-0.8960440400868985,motor
2283,0.9548246807053548,motor
2284,-6.762902479642851,motor
2285,0.21796068712941377,motor
2286,0.18049971115646588,motor
2287,-0.7725751078876331,motor
2288,-2.653521027330812,motor
2289,0.3188586019268185,motor
2290,-1.9035033942973683,motor
2291,3.285504362041902,motor
2292,-4.250041576834519,motor
2293,1.712785101544898,motor
2294,-2.888789000348332,motor
2295,-2.0788089622978805,motor
2296,-1.5854646366864,motor
2297,-2.626656947334574,motor
2298,-3.702664381543897,motor
2299,-3.3146209378661964,motor
2300,-4.198464451624066,motor
2301,-5.7912247626532745,motor
2302,-7.874362531675809,motor
2303,-1.9102618794843764,motor
2304,-1.8942580114484233,motor
2305,-4.4005834043344665,visual perception
2306,-4.369450988480839,visual perception
2307,-3.7383860408637672,visual perception
2308,-3.242222135970149,visual perception
2309,-2.9340614175715,visual perception
2310,-3.0344326618292485,visual perception
2311,-2.188219265998081,visual perception
2312,-0.6064740137564,visual perception
2313,-4.242355450622654,visual perception
2314,-4.454570795145401,visual perception
2315,-4.349541036408832,visual perception
2316,-3.196877086172016,visual perception
2317,-3.2845989724173337,visual perception
2318,-3.1332619907124806,visual perception
2319,-2.8811110959783424,visual perception
2320,-2.778684794432909,visual perception
2321,-2.613010528027661,visual perception
2322,-2.331477077264179,visual perception
2323,-1.8698938951500077,visual perception
2324,-1.3084214577810116,visual perception
2325,-1.9239555539969586,visual perception
2326,-1.6754123059284147,visual perception
2327,-2.839244295443982,visual perception
2328,-0.808414957649397,visual perception
2329,-6.169494031683275,visual perception
2330,-3.860252490224483,visual perception
2331,-2.847638761379376,visual perception
2332,-3.8497807998971707,visual perception
2333,-3.557217844754648,visual perception
2334,-3.094296896279257,visual perception
2335,-2.9339689436192526,visual perception
2336,-2.970082122921025,visual perception
2337,-2.768023896771738,visual perception
2338,-2.358194536660225,visual perception
2339,-1.7649012437813059,visual perception
2340,-2.2600668529346604,visual perception
2341,-2.0802934962527195,visual perception
2342,-1.3073867473625511,visual perception
2343,-1.5372103095943381,visual perception
2344,-0.9682396500129301,visual perception
2345,-0.08389306364288847,visual perception
2346,0.14987343654777785,visual perception
2347,-4.233667843093392,visual perception
2348,-0.1629695118305733,visual perception
2349,-9.391015480102329,visual perception
2350,-4.671546070653122,visual perception
2351,-5.419660519063313,visual perception
2352,-6.49047178821416,visual perception
2353,-3.901955169923083,visual perception
2354,-3.219863093830824,visual perception
2355,-2.7581924092027914,visual perception
2356,-3.0341464751344653,visual perception
2357,-3.285198314670241,visual perception
2358,-3.302982816754708,visual perception
2359,-3.3634209150998307,visual perception
2360,-3.65129755163593,visual perception
